Jan 02, 2019 3:30:03 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 02, 2019 3:30:03 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 02, 2019 3:30:04 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/vagrant/opendaylight-0.9.1/lock
Jan 02, 2019 3:30:04 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 02, 2019 3:30:04 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2019-01-02T03:30:05,517 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 | Adding features: f86f9f81-84c4-4a1e-8ed6-3bcb8165740b/[0,0.0.0]
2019-01-02T03:30:05,927 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 | Changes to perform:
2019-01-02T03:30:05,928 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |   Region: root
2019-01-02T03:30:05,928 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |     Bundles to install:
2019-01-02T03:30:05,928 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.opendaylight.odlparent/karaf.branding/3.1.4
2019-01-02T03:30:05,928 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2019-01-02T03:30:05,928 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.1.0
2019-01-02T03:30:05,928 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.8.3
2019-01-02T03:30:05,929 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2019-01-02T03:30:05,929 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.2.0
2019-01-02T03:30:05,929 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.2.0
2019-01-02T03:30:05,929 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2019-01-02T03:30:05,929 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2019-01-02T03:30:05,929 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.1
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries.quiesce/org.apache.aries.quiesce.api/1.0.0
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.1.6
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.1.6
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.1.6
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.1.6
2019-01-02T03:30:05,930 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.1.6
2019-01-02T03:30:05,931 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.1.6
2019-01-02T03:30:05,932 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.1.6
2019-01-02T03:30:05,933 | INFO  | features-1-thread-1 | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.1.6 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.1.6
